id	title	author	created_date	updated_map	updated_text	area	major_topic	filename
3	Evidentiality as part of the tense system	Samira Verhees	2020	December 2021	November 2020	Morphology	Evidentiality	evidentiality_tense
9	Elevation in the demonstrative system	Timofey Mukhin	2020	November 2020	November 2020	Nominal Categories		elevation
10	Distance contrasts expressed by demonstratives	Timofey Mukhin	2020	November 2020	November 2020	Nominal Categories		distance_contrasts
11	Types of demonstrative systems	Timofey Mukhin	2020	November 2020	November 2020	Nominal Categories		types_of_demonstrative_systems
12	Standard of comparison	Chiara Naccarato	2020	December 2021	November 2020	Morphology		standard_of_comparison
13	Perfect	Samira Verhees	2020	December 2021	November 2020	Morphology	Evidentiality	perfect
14	Particles of reported speech and inference	Samira Verhees	2020	December 2021	November 2020	Morphology	Evidentiality	particles
15	Morning greetings	Chiara Naccarato, Samira Verhees	2021	November 2021	November 2021	Lexicon		morning_greetings
16	Ordinal numerals	Polina Nasledskova, Ivan Netkachev	2021	December 2021	November 2021	Lexicon		ordinals
21	Optatives	Nina Dobrushina	2021	December 2021	November 2021	Morphology		optatives
22	Prohibitive and its relation with the imperative	Samira Ochs	2021	December 2021	November 2021	Morphology		prohibitives
